"nest","on","off"
"s402",2013-06-15 15:16:00,2013-06-28 21:27:00
"s404",2013-06-15 19:37:00,2013-07-02 21:21:00
"s406",2013-06-15 19:19:00,2013-07-06 09:07:00
"s409",2013-06-28 21:39:00,2013-07-11 09:43:00
"s502",2013-06-15 13:39:00,2013-07-02 21:51:00
"s509",2013-06-13 21:55:00,2013-07-02 20:55:00
"s510",2013-06-14 12:57:00,2013-07-06 19:52:00
"s512",2013-06-16 11:31:00,2013-07-11 10:12:00
"s524",2013-06-27 20:18:00,2013-07-11 09:11:00
"s526",2013-06-29 13:13:00,2013-07-11 21:15:00
"s622",2013-06-16 22:46:00,2013-07-09 12:00:00
"s702",2013-06-15 19:37:00,2013-07-04 14:26:00
"s704",2013-06-15 19:46:00,2013-07-10 00:11:00
"s711",2013-06-16 22:31:00,2013-07-02 15:21:00
"s805",2013-06-15 18:34:00,2013-07-06 09:47:00
