"nest","IDfemale","IDmale","ID_taken","ID_treated","sex_taken","sex_treated","taken","ringing_end","start_","end_c","end_","release","r_time","e_time","back","after","bout_a","c_bout","n","an","starved","use_t","use_b","days","present","lat","lon","end_state","comments","mass_loss"
"s402",257188570,253178803,257188570,253178803,"f","m","2013-06-22 10:11",NA,"2013-06-22 12:21:10","2013-06-23 00:55:14","2013-06-24 03:01:50","2013-06-23 10:11:00",9.26250555555026,26.1097277777725,"n","deserted",16.8472222222222,754.083,12,"deserted","yes","y","n",1,"N",71.3214,-156.632,"d","died",NA
"s404",257188572,253178801,257188572,253178801,"f","m","2013-06-23 01:22","2013-06-23 01:30","2013-06-23 01:59:20","2013-06-23 13:09:54","2013-06-24 02:01:50","2013-06-24 01:46:00",12.6013944444391,12.865283333328,"y","gap_return",0.263888888888889,670.583,25,"","yes","y","y",NA,"N",71.3227,-156.609,"hg","",0.899999999999999
"s406",255174558,255174347,255174347,255174558,"m","f","2013-06-24 22:20","2013-06-24 22:32","2013-06-24 23:13:50","2013-06-25 12:23:24","2013-06-26 07:56:40","2013-06-25 23:22:00",10.9763944444391,19.5541722222169,"y","return",8.57777777777778,789.583,3,"","no","y","y",NA,"N",71.3281,-156.623,"un","",1.6
"s409",255174397,255174343,255174397,255174343,"f","m","2013-07-01 14:18","2013-07-01 14:27","2013-07-01 14:27:30","2013-07-02 02:11:15","2013-07-03 07:08:50","2013-07-02 14:18:00",12.1125,28.9597222222222,"n","5 days",16.8472222222222,703.75,24,"5 days","no","y","y",4,"other_bird",71.3215,-156.622,"d","",1.3
"s410",255174366,255174344,255174366,255174344,"f","m","2013-06-26 05:46","2013-06-26 06:39",NA,NA,NA,NA,NA,NA,"n","",NA,NA,NA,NA,"no","n","n",NA,"N",71.3205,-156.611,"p","partial predation during before treatment bout, 2 eggs left, used in discusison",0.699999999999999
"s502",255174392,257188558,257188558,255174392,"m","f","2013-06-20 18:16",NA,"2013-06-20 21:00:00","2013-06-21 08:38:25","2013-06-22 11:31:50","2013-06-21 18:41:00",10.0430500000053,26.8902722222275,"y","return",16.8472222222222,698.417,20,"","yes","y","y",NA,"N",71.3188,-156.641,"p","",2.9
"s509",257188564,255174303,257188564,255174303,"f","m","2013-06-21 09:32","2013-06-21 09:55","2013-06-21 13:02:50","2013-06-22 01:02:39","2013-06-22 11:53:55","2013-06-22 09:32:00",8.48889444443915,10.8541722222169,"y","return",2.36527777777778,719.833,23,"","yes","y","y",NA,"Y",71.3293,-156.645,"hg","",1.8
"s510",257188566,255174329,257188566,255174329,"f","m","2013-06-22 13:52","2013-06-22 14:01","2013-06-22 15:02:35","2013-06-23 04:08:20","2013-06-24 06:42:50","2013-06-23 13:52:00",9.72777777777778,26.575,"n","10 days",16.8472222222222,785.75,8,"10 days","yes","y","n",10,"other_bird",71.3214,-156.673,"d","died",NA
"s512",255174359,257188446,255174359,257188446,"f","m","2013-06-24 05:06","2013-06-24 05:17","2013-06-24 10:26:20","2013-06-24 22:37:45","2013-06-25 11:20:45","2013-06-25 05:23:00",6.75416111111641,12.7166611111164,"y","return",5.9625,731.417,1,"","no","y","y",NA,"N",71.3236,-156.616,"ud","",0.199999999999999
"s514",255174396,257188551,255174396,257188551,"f","m","2013-06-25 12:19","2013-06-25 12:27",NA,NA,NA,NA,NA,NA,"y","",NA,NA,NA,NA,"no","n","y",NA,"N",71.3191,-156.636,"p","nest predated during treatement",0.799999999999997
"s515",255174399,255174346,255174346,255174399,"m","f","2013-06-24 14:12","2013-06-24 14:27","2013-06-24 16:41:50","2013-06-25 04:11:50","2013-06-25 15:10:30","2013-06-25 14:43:00",10.5194444444444,10.9777777777778,"y","return",0.458333333333333,690,14,"","no","y","y",NA,"other_bird",71.3218,-156.628,"un","",2
"s516",255174353,255174394,255174353,255174394,"f","m","2013-06-22 15:12","2013-06-22 15:21","2013-06-22 17:40:30","2013-06-23 05:48:30","2013-06-24 08:04:50","2013-06-23 15:14:00",9.425,26.2722222222222,"n","9 days",16.8472222222222,728,16,"9 days","yes","y","y",9,"N",71.3234,-156.624,"1?hd,3d","",2.3
"s519",255174365,255174330,255174365,255174330,"f","m","2013-06-25 13:25","2013-06-25 13:35","2013-06-25 13:52:00","2013-06-26 01:29:15","2013-06-26 23:46:40","2013-06-26 13:26:00",11.9458333333333,22.2902777777778,"y","return",10.3444444444444,697.25,4,"","no","y","y",NA,"N",71.3197,-156.67,"p","",2
"s520",255174362,255174599,255174362,255174599,"f","m","2013-06-25 06:36","2013-06-25 06:54","2013-06-25 08:06:30","2013-06-25 20:07:34","2013-06-26 22:45:15","2013-06-26 06:36:00",10.4736166666614,26.627783333328,"y","return",16.1541666666667,721.083,10,"","no","y","y",NA,"N",71.3263,-156.669,"hd","4 days alone at the end of incubation",3.1
"s524",253178816,257188552,253178816,257188552,"f","m","2013-06-28 20:46","2013-06-28 21:01",NA,NA,NA,NA,NA,NA,"y","",NA,NA,NA,NA,"no","n","y",NA,"other_bird",71.3157,-156.647,"hg","wrong bird taken to the captivity",1.8
"s526",255174892,255174846,255174892,255174846,"f","m","2013-07-08 09:55","2013-07-08 10:05","2013-07-08 11:50:25","2013-07-08 21:52:59","2013-07-10 02:47:50","2013-07-09 09:57:00",12.0666722222169,28.9138944444391,"n","desertion",16.8472222222222,602.583,6,"deserted","no","y","y",NA,"N",71.3196,-156.655,"d","",0.899999999999999
"s527",255174816,255174847,255174847,255174816,"m","f","2013-07-06 22:03","2013-07-07 22:20","2013-07-06 23:35:30","2013-07-07 12:19:34","2013-07-08 05:58:10","2013-07-07 22:10:00",9.84028333332803,17.6430611111058,"y","return",7.80277777777778,764.083,18,"","no","y","y",NA,"N",71.3257,-156.668,"un","incubates nearly nonstop for over 24h",0.699999999999999
"s622",255174325,257188506,257188506,255174325,"m","f","2013-06-27 01:14","2013-06-27 01:23","2013-06-27 01:57:35","2013-06-27 12:59:54","2013-06-28 06:35:10","2013-06-28 01:29:00",12.4847277777725,17.5875055555503,"y","return",5.10277777777778,662.333,13,"","no","y","y",NA,"other_bird",71.3166,-156.653,"hg","",1.5
"s624",255174356,255174322,255174356,255174322,"f","m","2013-06-23 11:25","2013-06-23 11:36",NA,NA,NA,NA,NA,NA,"n","return",NA,NA,NA,NA,"no","n","n",NA,"other_bird",71.3237,-156.667,"d","male dissapears in before treatment bout, just flies off calling, used in discussion",0.5
"s625",255174340,255174400,255174400,255174340,"m","f","2013-06-24 22:50","2013-06-24 23:52","2013-06-24 23:11:25","2013-06-25 11:46:44","2013-06-26 09:59:40","2013-06-25 23:32:00",11.7541722222169,22.215283333328,"y","gap_return",10.4611111111111,755.333,7,"","no","y","y",NA,"N",71.3278,-156.624,"hg","",0.800000000000001
"s628",229194794,255174349,255174349,229194794,"m","f","2013-06-23 18:21","2013-06-23 18:34","2013-06-23 20:02:25","2013-06-24 08:10:50","2013-06-24 21:20:25","2013-06-24 18:21:00",10.1694388888942,13.159716666672,"y","return",2.99027777777778,728.417,21,"","no","y","y",NA,"N",71.3259,-156.67,"?p","",-0.0999999999999979
"s629",255174328,255174326,255174326,255174328,"m","f","2013-06-25 16:40","2013-06-25 16:50","2013-06-25 19:40:15","2013-06-26 08:29:00","2013-06-27 03:20:30","2013-06-26 16:40:00",8.18333333333333,18.8583333333333,"y","return",10.675,768.75,17,"","no","y","y",NA,"N",71.3244,-156.672,"hd","",0.600000000000001
"s702",255174339,257188571,257188571,255174339,"m","f","2013-06-20 22:29",NA,"2013-06-21 00:37:50","2013-06-21 12:49:00","2013-06-21 23:08:15","2013-06-21 22:52:00",10.0499944444497,10.3208277777831,"y","gap_return",0.270833333333333,731.167,15,"","yes","y","y",NA,"N",71.3219,-156.626,"hg","",2.7
"s704",255174358,257188600,257188600,255174358,"m","f","2013-06-25 16:48","2013-06-25 16:58","2013-06-25 19:00:30","2013-06-26 07:13:30","2013-06-27 00:13:15","2013-06-26 17:18:00",10.075,16.9958333333333,"y","return",6.92083333333333,733,22,"","no","y","y",NA,"N",71.3245,-156.613,"?hg","",0.399999999999999
"s711",255174350,255174557,255174350,255174557,"f","m","2013-06-21 14:37","2013-06-21 14:58","2013-06-21 17:16:30","2013-06-22 06:58:15","2013-06-23 07:27:50","2013-06-22 14:37:00",7.64583333333333,24.4930555555556,"n","4 days",16.8472222222222,821.75,5,"4 days","yes","y","y",4,"N",71.3181,-156.652,"d","",1.3
"s712",255174395,255174342,255174342,255174395,"m","f","2013-06-24 21:03","2013-06-24 21:10","2013-06-24 23:11:55","2013-06-25 11:49:50","2013-06-26 07:05:15","2013-06-25 21:13:00",9.38610555556085,19.2569388888942,"y","return",9.87083333333333,757.917,2,"","no","y","y",NA,"N",71.3194,-156.634,"p","",1.4
"s805",257188450,255174364,255174364,257188450,"m","f","2013-06-25 11:34","2013-06-25 11:50","2013-06-25 12:38:35","2013-06-25 23:35:15","2013-06-26 14:03:40","2013-06-26 12:05:00",12.4958277777831,14.4736055555609,"y","return",1.97777777777778,656.667,9,"","no","y","y",NA,"N",71.3232,-156.61,"hg","",0.199999999999999
"s806",255174374,255174323,255174374,255174323,"f","m","2013-06-25 21:55","2013-06-25 22:06","2013-06-25 22:47:50","2013-06-26 10:13:50","2013-06-27 14:51:50","2013-06-26 22:01:00",11.7861111111111,28.6333333333333,"n","3 days",16.8472222222222,686,19,"3 days","no","y","y",3,"N",71.3204,-156.671,"p","bird did not  return, but we cannot be 100% sure as there are no MSR data",-0.300000000000001
"s808",255174363,255174348,255174363,255174348,"f","m","2013-06-25 09:45","2013-06-25 09:56","2013-06-25 10:21:35","2013-06-25 22:12:09","2013-06-26 21:29:10","2013-06-26 09:57:00",11.7472277777725,23.2833388888836,"y","return",11.5361111111111,710.583,11,"","no","y","y",NA,"N",71.3268,-156.629,"hg","",2
